date,ticker,timestamp,oneDayReturnPct,finalScore,nonFundamental,news,sentiment,uncertainty,confidence,returnLikelihood,evidenceCheckedCited,reason,metrics_EC,metrics_PCR,metrics_SD,metrics_NRI,metrics_HDM,metrics_CONTR,metrics_FRESH_NEG,metrics_CP,metrics_RD,PriceAtOpen,PriceAt1730CET,raw_return,realized_return,stoploss_triggered,equity_curve
2025-12-22,LW,2025-12-22T13:50:53.506728,-13.59,-0.05,No,-0.78,0.0,High,Medium,25.4,Investing.com: 'Surpassed forecast EPS and Revenue'.,Earnings Beat ($0.69 vs $0.64) and Revenue Beat. Stock fell 12% despite operational beat.,0.9,0.7,0.7,0.0,0.4,0.6,1.0,0.3,0.2,43.49,43.085,0.009312485628880228,0.009312485628880228,False,1.0093124856288802
2025-12-22,OLMA,2025-12-22T13:50:53.506728,-12.72,-0.06,No,0.18,0.0,High,Medium,56.1,Citigroup: 'Raised price target to $60'.,Multiple Analyst Upgrades (Citi to $60). Cash position strong ($329M).,0.6,0.6,0.6,0.0,0.2,0.5,0.0,0.4,0.2,27.92,28.54,-0.022206303724928274,-0.022206303724928274,False,0.986899386019643
2025-12-22,IRON,2025-12-22T13:50:53.506728,-12.91,-0.11,No,-0.64,0.0,High,High,26.8,"TipRanks: 'Consensus Strong Buy, Avg Target $120.18'.","Analyst Consensus 'Strong Buy' (Target ~$120). FDA application accepted, efficacy mandated.",0.8,0.8,0.6,0.0,0.3,0.8,1.0,0.5,0.3,80.51,78.53,0.02459321823375983,0.02459321823375983,False,1.0111704179947876
2025-12-22,ANDG,2025-12-22T13:50:53.506728,-10.12,-0.48,Yes,0.34,0.0,High,Low,41.6,"Investing.com: 'Opened at $21, well above offering'.",Post-IPO Volatility play. Opened significantly above IPO price ($21).,0.2,0.5,0.5,0.0,0.8,0.3,0.0,0.5,0.7,24.51,25.55,-0.042431660546715586,-0.04,True,0.970723601274996
2025-12-22,BETR,2025-12-22T13:50:53.506728,-8.42,-0.62,No,-0.66,0.0,High,Medium,11.7,HousingWire: 'Aims for EBITDA breakeven by Q3 2026'.,Turnaround Play: Management reiterated Adj EBITDA breakeven by 2026.,0.4,0.7,0.5,0.0,0.5,0.4,1.0,0.4,0.5,35.05,35.5266,-0.013597717546362478,-0.013597717546362478,False,0.9575239759292707
2025-12-23,EWTX,2025-12-23T09:49:45.264608,-16.9,-0.05,Yes,-0.6,-0.06,High,Low,30.6,Insider buying (mixed),Oversold bounce candidate. Dropped on FDA denial (old news recycling?) or technical break. Support at $21 broken. Insiders have bought historically.,0.5,0.6,0.8,0.4,0.6,0.6,1.0,0.4,0.4,21.02,21.63,-0.029019980970504254,-0.029019980970504254,False,0.9297366483690017
2025-12-23,SMX,2025-12-23T09:49:45.264608,-10.88,-0.68,No,-0.69,-0.67,High,Low,6.1,Dilution history,Dilution Trap. Toxic financing and reverse splits dominate. No rebound thesis.,0.1,0.2,0.2,0.1,0.2,0.2,1.0,0.2,0.8,168.21,149.0,0.11420248498900189,0.11420248498900189,False,1.0359148839980876
2025-12-23,AFJK,2025-12-23T09:49:45.264608,-7.16,-0.83,Yes,-0.75,-0.8,High,Low,3.7,Redemption event,SPAC volatility. Pump/Dump pattern. Going concern doubt.,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.8,30.94,47.22,-0.5261797026502908,-0.04,True,0.9944782886381641
2025-12-24,SMX,2025-12-24T14:02:39.518832,-11.63,-0.13,No,0.21,-0.47,High,Medium,39.9,"Oversold RSI, Bollinger Bands, Nasdaq delinquency notices.","Oversold conditions (RSI, Bollinger) but high volatility and skepticism.",1.2,0.9,0.4,0.1,0.8,0.7,0.0,0.3,0.5,152.78,137.23,0.10178033774054203,0.10178033774054203,False,1.0956966247313926
2025-12-24,INBX,2025-12-24T14:02:39.518832,-10.14,-0.08,No,-0.6,-0.07,High,Medium,27.1,"Weiss Law investigation, Global Investors selling, Trade secret win.",Drop likely due to acquisition investigation/shareholder selling. Legal victory in trade secrets.,1.0,0.7,0.6,0.4,0.5,0.3,1.0,0.4,0.6,78.08,78.89,-0.010373975409836094,-0.010373975409836094,False,1.0843298948897888
2025-12-24,SMX,2025-12-24T13:11:01.127375,-11.63,-1.13,No,-0.75,-0.8,High,Low,2.1,Filings,Dilution Spiral. Continued drop post-pump. Toxic financing structure.,0.1,0.1,0.2,0.1,0.1,0.1,1.0,0.1,0.8,152.78,137.23,0.10178033774054203,0.10178033774054203,False,1.194693357813838
